21:44 sang2934  : đc chx?
21:44 KaredMc   : s h nos its v
21:44 KaredMc   : co 100 block a
21:50 KaredMc   : ee sang sao conf cos 100 block af
21:50 KaredMc   : nho qua
21:50 sang2934  : ko bt
21:50 sang2934  : đủ r còn j
21:51 KaredMc   : nho cuc luon a
21:51 sang2934  : để tí chinht
21:51 KaredMc   : chinhr leen 250 nha
21:52 KaredMc   : lm luoon t caast ddof sang oi
21:53 KaredMc   : j v lag af
21:53 KaredMc   : 116 r nef
21:57 KaredMc   : mới có 116 block à còn nhỏ lắm🥲
21:57 sang2934  : ko bt
21:57 sang2934  : chỉnh sao
21:57 KaredMc   : s m chỉnh lên đc
21:57 sang2934  : ko bt chỉnh
21:58 KaredMc   : bruh v s nó lên đc hay v
21:58 sang2934  : đéo bt
21:58 sang2934  : do m th
21:58 KaredMc   : haâ
22:07 KaredMc   : sang
22:07 sang2934  : j
22:07 KaredMc   : t chưa có con dân làng nào thật nha
22:27 KaredMc   : thêm ch sang
22:27 sang2934  : r
22:33 sang2934  : T QUA TEST KIẾM NHA
22:42 sang2934  : CHO T KÍNH
22:43 KaredMc   : :)?
22:43 sang2934  : block kính
22:43 sang2934  : nhanh
22:43 KaredMc   : kh co
22:44 KaredMc   : tks
22:44 sang2934  : thk j
22:44 KaredMc   : xin daan langf
22:44 sang2934  : tí đi
22:44 KaredMc   : m vuwaf hooif maus voiws.food cho t
22:44 sang2934  : chiều
22:45 KaredMc   : okok
23:00 sang2934  : đi hc đi cha
